Career,Category,Median Salary,Education,Certifications,Technical Skills,Soft Skills,Job Outlook,Description
Career,Category,,,,,,,
Healthcare Data Analyst,Analytics,,,,,,,
Clinical Informatics Analyst,Informatics,,,,,,,
Health Information Manager,HIM,,,,,,,
Clinical Data Manager,Clinical Research,,,,,,,
Business Intelligence Analyst,Analytics,,,,,,,
Population Health Analyst,Public Health,,,,,,,
Healthcare Operations Analyst,Operations,,,,,,,
Revenue Cycle Analyst,Finance,,,,,,,
Quality Improvement Analyst,Quality,,,,,,,
Epic Analyst,Health IT,,,,,,,
